"WORKYEAR","LastDateBroodReduc","FirstDateBroodReduc","NIDO","DateInitial","HatchAsync","AGEHEMB","ANILLOHEMB","AGEMACH","ANILLOMACH","CoupleExpLocal","ESTECLOS1","HatchRank","HatchCat","HatchingRoundRank","HatchingCatRank","PROPORTIONALRANK","LayingCatRank","LayingRoundRank","LayRank","CONFIRMHEMB","Start_time","Stop_time","BroodReduction.x","BroodReduction.y","BroodReduction","Time","DATE","Event","Gap","DateForPropRank","Time0","Ndays","CountingPropRank"
1991,"1991-07-21","1991-06-01","91-743",1991-05-22,7,NA,"SA",NA,"0X0",NA,1991-05-15,0.266523911491792,3,0.3,1,0.672908843,5,0.6,0.558282208588957,"f",0,7,0,0,0,2,1991-05-29,0,1,1991-05-22,1,66,0.540983606557377
1991,"1991-07-21","1991-06-01","91-743",1991-05-22,7,NA,"SA",NA,"0X0",NA,1991-05-15,0.266523911491792,3,0.3,1,0.672908843,5,0.6,0.558282208588957,"f",7,14,0,1,1,3,1991-06-05,0,2,1991-05-29,2,73,0.598360655737705
1991,"1991-07-21","1991-06-01","91-743",1991-05-22,7,NA,"SA",NA,"0X0",NA,1991-05-15,0.266523911491792,3,0.3,1,0.672908843,5,0.6,0.558282208588957,"f",14,21,0,NA,0,4,1991-06-12,1,1,1991-06-05,3,80,0.655737704918033
1991,"1991-07-21","1991-06-01","91-743",1991-05-22,7,NA,"SA",NA,"0X0",NA,1991-05-15,0.266523911491792,3,0.3,1,0.672908843,5,0.6,0.558282208588957,"f",21,28,0,NA,0,5,1991-06-19,1,2,1991-06-12,4,87,0.713114754098361
1991,"1991-07-21","1991-06-01","91-743",1991-05-22,7,NA,"SA",NA,"0X0",NA,1991-05-15,0.266523911491792,3,0.3,1,0.672908843,5,0.6,0.558282208588957,"f",28,35,0,NA,0,6,1991-06-26,1,3,1991-06-19,5,94,0.770491803278688
1991,"1991-07-21","1991-06-01","91-743",1991-05-22,7,NA,"SA",NA,"0X0",NA,1991-05-15,0.266523911491792,3,0.3,1,0.672908843,5,0.6,0.558282208588957,"f",35,42,0,NA,0,7,1991-07-03,1,4,1991-06-26,6,101,0.827868852459016
1991,"1991-07-21","1991-06-01","91-743",1991-05-22,7,NA,"SA",NA,"0X0",NA,1991-05-15,0.266523911491792,3,0.3,1,0.672908843,5,0.6,0.558282208588957,"f",42,49,0,NA,0,8,1991-07-10,1,5,1991-07-03,7,108,0.885245901639344
1991,"1991-07-21","1991-06-01","91-743",1991-05-22,7,NA,"SA",NA,"0X0",NA,1991-05-15,0.266523911491792,3,0.3,1,0.672908843,5,0.6,0.558282208588957,"f",49,56,0,NA,0,9,1991-07-17,1,6,1991-07-10,8,115,0.942622950819672
1991,"1991-07-21","1991-06-01","91-743",1991-05-22,7,NA,"SA",NA,"0X0",NA,1991-05-15,0.266523911491792,3,0.3,1,0.672908843,5,0.6,0.558282208588957,"f",56,60,1,NA,1,10,1991-07-21,1,7,1991-07-14,9,119,0.975409836065574
1986,"1986-07-20","1986-07-20","86-326",1986-05-21,3,NA,"2XX",NA,"2X6",NA,1986-05-18,0.136402569593148,2,0.1,NA,0.596432567,5,0.6,0.622377622377622,"f",0,7,0,0,0,2,1986-05-28,0,1,1986-05-21,1,94,0.56969696969697
1986,"1986-07-20","1986-07-20","86-326",1986-05-21,3,NA,"2XX",NA,"2X6",NA,1986-05-18,0.136402569593148,2,0.1,NA,0.596432567,5,0.6,0.622377622377622,"f",7,14,0,0,0,3,1986-06-04,0,2,1986-05-28,2,101,0.612121212121212
1986,"1986-07-20","1986-07-20","86-326",1986-05-21,3,NA,"2XX",NA,"2X6",NA,1986-05-18,0.136402569593148,2,0.1,NA,0.596432567,5,0.6,0.622377622377622,"f",14,21,0,0,0,4,1986-06-11,0,3,1986-06-04,3,108,0.654545454545455
1986,"1986-07-20","1986-07-20","86-326",1986-05-21,3,NA,"2XX",NA,"2X6",NA,1986-05-18,0.136402569593148,2,0.1,NA,0.596432567,5,0.6,0.622377622377622,"f",21,28,0,0,0,5,1986-06-18,0,4,1986-06-11,4,115,0.696969696969697
1986,"1986-07-20","1986-07-20","86-326",1986-05-21,3,NA,"2XX",NA,"2X6",NA,1986-05-18,0.136402569593148,2,0.1,NA,0.596432567,5,0.6,0.622377622377622,"f",28,35,0,0,0,6,1986-06-25,0,5,1986-06-18,5,122,0.739393939393939
1986,"1986-07-20","1986-07-20","86-326",1986-05-21,3,NA,"2XX",NA,"2X6",NA,1986-05-18,0.136402569593148,2,0.1,NA,0.596432567,5,0.6,0.622377622377622,"f",35,42,0,0,0,7,1986-07-02,0,6,1986-06-25,6,129,0.781818181818182
1986,"1986-07-20","1986-07-20","86-326",1986-05-21,3,NA,"2XX",NA,"2X6",NA,1986-05-18,0.136402569593148,2,0.1,NA,0.596432567,5,0.6,0.622377622377622,"f",42,49,0,0,0,8,1986-07-09,0,7,1986-07-02,7,136,0.824242424242424
