Chl,Chl_2,WORKYEAR,NIDO,DATE,Time0,Time,Event,BroodReduction,HatchAsync,PROPORTIONALRANK
0.44651000918367345,0.19937118830120415,2005,05-318,2005-05-26,1,2,0,0,3,0.2576318
0.44651000918367345,0.19937118830120415,2005,05-318,2005-06-02,2,3,0,0,3,0.2576318
0.44651000918367345,0.19937118830120415,2005,05-318,2005-06-09,3,4,0,0,3,0.2576318
0.44651000918367345,0.19937118830120415,2005,05-318,2005-06-16,4,5,0,0,3,0.2576318
0.304920430909091,0.09297646918578573,2005,05-318,2005-06-23,5,6,0,0,3,0.2576318
0.304920430909091,0.09297646918578573,2005,05-318,2005-06-30,6,7,0,0,3,0.2576318
0.304920430909091,0.09297646918578573,2005,05-318,2005-07-07,7,8,0,0,3,0.2576318
0.18987494414893602,0.036052494415561576,2005,05-318,2005-07-14,8,9,0,1,3,0.2576318
0.18987494414893602,0.036052494415561576,2005,05-318,2005-07-18,9,10,1,1,3,0.2576318
0.5986604021200144,0.3583942770664973,2007,07-405,2007-03-20,1,2,0,0,3,0.453373
0.5986604021200144,0.3583942770664973,2007,07-405,2007-03-27,2,3,0,0,3,0.453373
0.5986604021200144,0.3583942770664973,2007,07-405,2007-04-03,3,4,0,0,3,0.453373
0.5023904043678165,0.2523961184008581,2007,07-405,2007-04-10,4,5,0,0,3,0.453373
0.5023904043678165,0.2523961184008581,2007,07-405,2007-04-17,5,6,0,0,3,0.453373
0.5023904043678165,0.2523961184008581,2007,07-405,2007-04-24,6,7,0,0,3,0.453373
0.5023904043678165,0.2523961184008581,2007,07-405,2007-05-01,7,8,0,0,3,0.453373
0.5023904043678165,0.2523961184008581,2007,07-405,2007-05-08,8,9,0,0,3,0.453373
0.5023904043678165,0.2523961184008581,2007,07-405,2007-05-12,9,10,0,0,3,0.453373
0.7098788251503159,0.5039279463967927,2004,04-007,2004-04-05,1,2,0,0,7,0.5922053
0.6449794508125543,0.41599849197046407,2004,04-007,2004-04-12,2,3,0,1,7,0.5922053
0.6449794508125543,0.41599849197046407,2004,04-007,2004-04-19,3,4,1,0,7,0.5922053
0.5409506647854115,0.2926276217317787,2004,04-007,2004-04-26,4,5,1,0,7,0.5922053
0.5409506647854115,0.2926276217317787,2004,04-007,2004-05-03,5,6,1,0,7,0.5922053
0.5409506647854115,0.2926276217317787,2004,04-007,2004-05-10,6,7,1,0,7,0.5922053
0.5409506647854115,0.2926276217317787,2004,04-007,2004-05-17,7,8,1,0,7,0.5922053
0.5409506647854115,0.2926276217317787,2004,04-007,2004-05-24,8,9,1,0,7,0.5922053
0.5409506647854115,0.2926276217317787,2004,04-007,2004-05-28,9,10,1,1,7,0.5922053
0.7098788251503159,0.5039279463967927,2004,04-742,2004-03-31,1,2,0,0,4,0.5570342
0.7098788251503159,0.5039279463967927,2004,04-742,2004-04-07,2,3,0,0,4,0.5570342
0.6449794508125543,0.41599849197046407,2004,04-742,2004-04-14,3,4,0,0,4,0.5570342
0.6449794508125543,0.41599849197046407,2004,04-742,2004-04-21,4,5,0,0,4,0.5570342
0.5409506647854115,0.2926276217317787,2004,04-742,2004-04-28,5,6,0,0,4,0.5570342
0.5409506647854115,0.2926276217317787,2004,04-742,2004-05-05,6,7,0,0,4,0.5570342
