NArea_RainMedium,WORKYEAR,NIDO,DATE,Time0,Time,Event,BroodReduction,HatchAsync,PROPORTIONALRANK
0,1991,91-743,1991-05-29,1,2,0,0,7,0.672908843
0,1991,91-743,1991-06-05,2,3,0,1,7,0.672908843
0,1991,91-743,1991-06-12,3,4,1,0,7,0.672908843
0,1991,91-743,1991-06-19,4,5,1,0,7,0.672908843
0,1991,91-743,1991-06-26,5,6,1,0,7,0.672908843
0,1991,91-743,1991-07-03,6,7,1,0,7,0.672908843
0,1991,91-743,1991-07-10,7,8,1,0,7,0.672908843
0,1991,91-743,1991-07-17,8,9,1,0,7,0.672908843
0,1991,91-743,1991-07-21,9,10,1,1,7,0.672908843
0.09325396825396826,1990,90-103,1990-03-20,1,2,0,0,5,0.142121524
0.10912698412698413,1990,90-103,1990-03-27,2,3,0,1,5,0.142121524
0.10912698412698413,1990,90-103,1990-03-31,3,4,1,1,5,0.142121524
0.1111111111111111,1990,90-183,1990-04-20,1,2,0,0,5,0.358393401
0.1111111111111111,1990,90-183,1990-04-27,2,3,0,0,5,0.358393401
0.12698412698412698,1990,90-183,1990-05-04,3,4,0,0,5,0.358393401
0.12698412698412698,1990,90-183,1990-05-11,4,5,0,0,5,0.358393401
0.12698412698412698,1990,90-183,1990-05-18,5,6,0,0,5,0.358393401
0.12698412698412698,1990,90-183,1990-05-25,6,7,0,1,5,0.358393401
0.07936507936507936,1990,90-183,1990-06-01,7,8,1,0,5,0.358393401
0.047619047619047616,1990,90-183,1990-06-08,8,9,1,0,5,0.358393401
0.047619047619047616,1990,90-183,1990-06-12,9,10,1,1,5,0.358393401
0.09325396825396826,1990,90-106,1990-03-24,1,2,0,0,4,0.177136973
0.10912698412698413,1990,90-106,1990-03-31,2,3,0,0,4,0.177136973
0.14087301587301587,1990,90-106,1990-04-07,3,4,0,0,4,0.177136973
0.125,1990,90-106,1990-04-14,4,5,0,0,4,0.177136973
0.1111111111111111,1990,90-106,1990-04-21,5,6,0,1,4,0.177136973
0.1111111111111111,1990,90-106,1990-04-28,6,7,1,0,4,0.177136973
0.12698412698412698,1990,90-106,1990-05-05,7,8,1,0,4,0.177136973
0.12698412698412698,1990,90-106,1990-05-12,8,9,1,0,4,0.177136973
0.12698412698412698,1990,90-106,1990-05-16,9,10,1,1,4,0.177136973
0.02976190476190476,1991,91-009,1991-04-04,1,2,0,0,2,0.232833952
0.02976190476190476,1991,91-009,1991-04-11,2,3,0,0,2,0.232833952
0.015873015873015872,1991,91-009,1991-04-18,3,4,0,0,2,0.232833952
0.015873015873015872,1991,91-009,1991-04-25,4,5,0,0,2,0.232833952
0.015873015873015872,1991,91-009,1991-05-02,5,6,0,0,2,0.232833952
0.015873015873015872,1991,91-009,1991-05-09,6,7,0,0,2,0.232833952
0.015873015873015872,1991,91-009,1991-05-16,7,8,0,0,2,0.232833952
0.015873015873015872,1991,91-009,1991-05-23,8,9,0,0,2,0.232833952
0.015873015873015872,1991,91-009,1991-05-27,9,10,0,0,2,0.232833952
0.06349206349206349,1995,95-082,1995-05-17,1,2,0,0,3,0.202007532
0.047619047619047616,1995,95-082,1995-05-24,2,3,0,0,3,0.202007532
0.047619047619047616,1995,95-082,1995-05-31,3,4,0,0,3,0.202007532
0.015873015873015872,1995,95-082,1995-06-07,4,5,0,0,3,0.202007532
0,1995,95-082,1995-06-14,5,6,0,0,3,0.202007532
0,1995,95-082,1995-06-21,6,7,0,0,3,0.202007532
0,1995,95-082,1995-06-28,7,8,0,0,3,0.202007532
0,1995,95-082,1995-07-05,8,9,0,0,3,0.202007532
0,1995,95-082,1995-07-09,9,10,0,0,3,0.202007532
0.14087301587301587,1990,90-256,1990-04-07,1,2,0,1,4,0.309989691
