Rain,Rain_2,WORKYEAR,NIDO,DATE,Time0,Time,Event,BroodReduction,HatchAsync,PROPORTIONALRANK
0,0,1991,91-743,1991-05-29,1,2,0,0,7,0.672908843
0,0,1991,91-743,1991-06-05,2,3,0,1,7,0.672908843
0,0,1991,91-743,1991-06-12,3,4,1,0,7,0.672908843
0.031214375,9.743372066406249e-4,1991,91-743,1991-06-19,4,5,1,0,7,0.672908843
0.031214375,9.743372066406249e-4,1991,91-743,1991-06-26,5,6,1,0,7,0.672908843
0.031214375,9.743372066406249e-4,1991,91-743,1991-07-03,6,7,1,0,7,0.672908843
0.031214375,9.743372066406249e-4,1991,91-743,1991-07-10,7,8,1,0,7,0.672908843
0.03607048571428571,0.0013010799396644898,1991,91-743,1991-07-17,8,9,1,0,7,0.672908843
0.03607048571428571,0.0013010799396644898,1991,91-743,1991-07-21,9,10,1,1,7,0.672908843
0.23919401914285712,0.0572137787937135,1990,90-103,1990-03-20,1,2,0,0,5,0.142121524
0.09690469342857143,0.009390519608485415,1990,90-103,1990-03-27,2,3,0,1,5,0.142121524
0.09690469342857143,0.009390519608485415,1990,90-103,1990-03-31,3,4,1,1,5,0.142121524
0.1056937887857143,0.011171176987879184,1990,90-183,1990-04-20,1,2,0,0,5,0.358393401
0.1056937887857143,0.011171176987879184,1990,90-183,1990-04-27,2,3,0,0,5,0.358393401
0.06856865164285715,0.004701659988119496,1990,90-183,1990-05-04,3,4,0,0,5,0.358393401
0.008789095357142857,7.724819719695012e-5,1990,90-183,1990-05-11,4,5,0,0,5,0.358393401
0.008789095357142857,7.724819719695012e-5,1990,90-183,1990-05-18,5,6,0,0,5,0.358393401
0.008789095357142857,7.724819719695012e-5,1990,90-183,1990-05-25,6,7,0,1,5,0.358393401
0.30319959535714286,0.09192999462473517,1990,90-183,1990-06-01,7,8,1,0,5,0.358393401
0.2944105,0.08667754251025,1990,90-183,1990-06-08,8,9,1,0,5,0.358393401
0.2944105,0.08667754251025,1990,90-183,1990-06-12,9,10,1,1,5,0.358393401
0.23919401914285712,0.0572137787937135,1990,90-106,1990-03-24,1,2,0,0,4,0.177136973
0.09690469342857143,0.009390519608485415,1990,90-106,1990-03-31,2,3,0,0,4,0.177136973
0.09690469342857143,0.009390519608485415,1990,90-106,1990-04-07,3,4,0,0,4,0.177136973
