RefittedChl,RefittedChl_2,PROPORTIONALRANK,HatchAsync,Chl,Chl_2,SST,SST_2,Event,BroodReduction,NIDO,WORKYEAR,DATE,Time0,Time
-0.22401002464308598,0.05018049114059599,0.2576318,3,0.44651000918367345,0.19937118830120415,26.19600163333333,686.2305015736026,0,0,05-318,2005,2005-05-26,1,2
-0.2058350803323043,0.04236808029540617,0.2576318,3,0.44651000918367345,0.19937118830120415,27.60962832,762.291575968546,0,0,05-318,2005,2005-06-02,2,3
-0.2228898797797763,0.049679898508243135,0.2576318,3,0.44651000918367345,0.19937118830120415,27.89664095,778.2225762932168,0,0,05-318,2005,2005-06-09,3,4
-0.2228898797797763,0.049679898508243135,0.2576318,3,0.44651000918367345,0.19937118830120415,27.89664095,778.2225762932168,0,0,05-318,2005,2005-06-16,4,5
-0.2290242575755309,0.052452110558023124,0.2576318,3,0.304920430909091,0.09297646918578573,27.89664095,778.2225762932168,0,0,05-318,2005,2005-06-23,5,6
-0.2290242575755309,0.052452110558023124,0.2576318,3,0.304920430909091,0.09297646918578573,27.926948418000002,779.9144479416328,0,0,05-318,2005,2005-06-30,6,7
-0.2290242575755309,0.052452110558023124,0.2576318,3,0.304920430909091,0.09297646918578573,27.926948418000002,779.9144479416328,0,0,05-318,2005,2005-07-07,7,8
-0.2290242575755309,0.052452110558023124,0.2576318,3,0.18987494414893602,0.036052494415561576,27.926948418000002,779.9144479416328,0,1,05-318,2005,2005-07-14,8,9
-0.2642596561426168,0.06983316586461408,0.2576318,3,0.18987494414893602,0.036052494415561576,27.926948418000002,779.9144479416328,1,1,05-318,2005,2005-07-18,9,10
-0.13205252475057463,0.017437869293001125,0.453373,3,0.5986604021200144,0.3583942770664973,25.798662336666666,665.5709783613431,0,0,07-405,2007,2007-03-20,1,2
-0.07516542579120165,0.005649841234372643,0.453373,3,0.5986604021200144,0.3583942770664973,25.798662336666666,665.5709783613431,0,0,07-405,2007,2007-03-27,2,3
-0.15778632160402548,0.024896523285328955,0.453373,3,0.5986604021200144,0.3583942770664973,25.798662336666666,665.5709783613431,0,0,07-405,2007,2007-04-03,3,4
-0.15778632160402548,0.024896523285328955,0.453373,3,0.5023904043678165,0.2523961184008581,25.798662336666666,665.5709783613431,0,0,07-405,2007,2007-04-10,4,5
-0.1911607382220511,0.03654242783759955,0.453373,3,0.5023904043678165,0.2523961184008581,25.88440299,670.002318148721,0,0,07-405,2007,2007-04-17,5,6
-0.1911607382220511,0.03654242783759955,0.453373,3,0.5023904043678165,0.2523961184008581,25.88440299,670.002318148721,0,0,07-405,2007,2007-04-24,6,7
-0.1911607382220511,0.03654242783759955,0.453373,3,0.5023904043678165,0.2523961184008581,25.88440299,670.002318148721,0,0,07-405,2007,2007-05-01,7,8
-0.21511809286769373,0.0462757938790337,0.453373,3,0.5023904043678165,0.2523961184008581,26.711822559999998,713.5214644769248,0,0,07-405,2007,2007-05-08,8,9
-0.21511809286769373,0.0462757938790337,0.453373,3,0.5023904043678165,0.2523961184008581,26.711822559999998,713.5214644769248,0,0,07-405,2007,2007-05-12,9,10
-0.048928559533372266,0.002394003938010754,0.5922053,7,0.7098788251503159,0.5039279463967927,26.241843874,688.6343699073914,0,0,04-007,2004,2004-04-05,1,2
-0.048928559533372266,0.002394003938010754,0.5922053,7,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,0,1,04-007,2004,2004-04-12,2,3
-0.16348338010551147,0.026726815570723143,0.5922053,7,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,1,0,04-007,2004,2004-04-19,3,4
-0.16348338010551147,0.026726815570723143,0.5922053,7,0.5409506647854115,0.2926276217317787,26.241843874,688.6343699073914,1,0,04-007,2004,2004-04-26,4,5
-0.16348338010551147,0.026726815570723143,0.5922053,7,0.5409506647854115,0.2926276217317787,26.785165642,717.4450984693772,1,0,04-007,2004,2004-05-03,5,6
-0.17963397077335616,0.03226836345580297,0.5922053,7,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,1,0,04-007,2004,2004-05-10,6,7
-0.17963397077335616,0.03226836345580297,0.5922053,7,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,1,0,04-007,2004,2004-05-17,7,8
-0.20552214547367223,0.04223935228010129,0.5922053,7,0.5409506647854115,0.2926276217317787,27.584427534,760.9006423784973,1,0,04-007,2004,2004-05-24,8,9
-0.20552214547367223,0.04223935228010129,0.5922053,7,0.5409506647854115,0.2926276217317787,28.06171538,787.4598700681285,1,1,04-007,2004,2004-05-28,9,10
-0.048928559533372266,0.002394003938010754,0.5570342,4,0.7098788251503159,0.5039279463967927,26.241843874,688.6343699073914,0,0,04-742,2004,2004-03-31,1,2
-0.048928559533372266,0.002394003938010754,0.5570342,4,0.7098788251503159,0.5039279463967927,26.241843874,688.6343699073914,0,0,04-742,2004,2004-04-07,2,3
-0.048928559533372266,0.002394003938010754,0.5570342,4,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,0,0,04-742,2004,2004-04-14,3,4
-0.16348338010551147,0.026726815570723143,0.5570342,4,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,0,0,04-742,2004,2004-04-21,4,5
