SST,SST_2,WORKYEAR,NIDO,DATE,Time0,Time,Event,BroodReduction,HatchAsync,PROPORTIONALRANK
27.216056892,740.7137527485808,1991,91-743,1991-05-29,1,2,0,0,7,0.672908843
27.820563008,773.9837260820981,1991,91-743,1991-06-05,2,3,0,1,7,0.672908843
28.653069895,820.9984144077554,1991,91-743,1991-06-12,3,4,1,0,7,0.672908843
29.56005563,873.7968888486947,1991,91-743,1991-06-19,4,5,1,0,7,0.672908843
29.56005563,873.7968888486947,1991,91-743,1991-06-26,5,6,1,0,7,0.672908843
29.56005563,873.7968888486947,1991,91-743,1991-07-03,6,7,1,0,7,0.672908843
29.56005563,873.7968888486947,1991,91-743,1991-07-10,7,8,1,0,7,0.672908843
31.400410523999998,985.9857810757298,1991,91-743,1991-07-17,8,9,1,0,7,0.672908843
31.400410523999998,985.9857810757298,1991,91-743,1991-07-21,9,10,1,1,7,0.672908843
25.242291528,637.1732815845405,1990,90-103,1990-03-20,1,2,0,0,5,0.142121524
25.9767297,674.790485906862,1990,90-103,1990-03-27,2,3,0,1,5,0.142121524
25.9767297,674.790485906862,1990,90-103,1990-03-31,3,4,1,1,5,0.142121524
28.127614106666666,791.1626753335536,1990,90-183,1990-04-20,1,2,0,0,5,0.358393401
28.127614106666666,791.1626753335536,1990,90-183,1990-04-27,2,3,0,0,5,0.358393401
28.127614106666666,791.1626753335536,1990,90-183,1990-05-04,3,4,0,0,5,0.358393401
28.127614106666666,791.1626753335536,1990,90-183,1990-05-11,4,5,0,0,5,0.358393401
28.978986332,839.781648830243,1990,90-183,1990-05-18,5,6,0,0,5,0.358393401
29.363552102,862.2181920468686,1990,90-183,1990-05-25,6,7,0,1,5,0.358393401
29.363552102,862.2181920468686,1990,90-183,1990-06-01,7,8,1,0,5,0.358393401
30.590216116,935.7613220235861,1990,90-183,1990-06-08,8,9,1,0,5,0.358393401
30.645983838,939.1763253989571,1990,90-183,1990-06-12,9,10,1,1,5,0.358393401
25.242291528,637.1732815845405,1990,90-106,1990-03-24,1,2,0,0,4,0.177136973
25.9767297,674.790485906862,1990,90-106,1990-03-31,2,3,0,0,4,0.177136973
25.9767297,674.790485906862,1990,90-106,1990-04-07,3,4,0,0,4,0.177136973
26.5267930125,703.6707475280189,1990,90-106,1990-04-14,4,5,0,0,4,0.177136973
28.127614106666666,791.1626753335536,1990,90-106,1990-04-21,5,6,0,1,4,0.177136973
28.127614106666666,791.1626753335536,1990,90-106,1990-04-28,6,7,1,0,4,0.177136973
28.127614106666666,791.1626753335536,1990,90-106,1990-05-05,7,8,1,0,4,0.177136973
28.127614106666666,791.1626753335536,1990,90-106,1990-05-12,8,9,1,0,4,0.177136973
28.978986332,839.781648830243,1990,90-106,1990-05-16,9,10,1,1,4,0.177136973
24.74698115,612.4130760384553,1991,91-009,1991-04-04,1,2,0,0,2,0.232833952
24.74698115,612.4130760384553,1991,91-009,1991-04-11,2,3,0,0,2,0.232833952
24.9304461675,621.5271461106155,1991,91-009,1991-04-18,3,4,0,0,2,0.232833952
25.750909802,663.1093556307396,1991,91-009,1991-04-25,4,5,0,0,2,0.232833952
26.262714446666667,689.7301701071541,1991,91-009,1991-05-02,5,6,0,0,2,0.232833952
26.79219812,717.8218801013314,1991,91-009,1991-05-09,6,7,0,0,2,0.232833952
26.968885971666666,727.3208105527591,1991,91-009,1991-05-16,7,8,0,0,2,0.232833952
26.968885971666666,727.3208105527591,1991,91-009,1991-05-23,8,9,0,0,2,0.232833952
26.968885971666666,727.3208105527591,1991,91-009,1991-05-27,9,10,0,0,2,0.232833952
26.014233394,676.7403390775048,1995,95-082,1995-05-17,1,2,0,0,3,0.202007532
27.185131164285714,739.0313564194183,1995,95-082,1995-05-24,2,3,0,0,3,0.202007532
28.060672292,787.4013294790165,1995,95-082,1995-05-31,3,4,0,0,3,0.202007532
28.060672292,787.4013294790165,1995,95-082,1995-06-07,4,5,0,0,3,0.202007532
28.509101362000003,812.7688604687904,1995,95-082,1995-06-14,5,6,0,0,3,0.202007532
28.749597215,826.5393400247358,1995,95-082,1995-06-21,6,7,0,0,3,0.202007532
28.749597215,826.5393400247358,1995,95-082,1995-06-28,7,8,0,0,3,0.202007532
29.9019586,894.127128116114,1995,95-082,1995-07-05,8,9,0,0,3,0.202007532
30.9476716,957.7583774614466,1995,95-082,1995-07-09,9,10,0,0,3,0.202007532
25.9767297,674.790485906862,1990,90-256,1990-04-07,1,2,0,1,4,0.309989691
26.5267930125,703.6707475280189,1990,90-256,1990-04-13,2,3,1,1,4,0.309989691
27.743624282,769.70868830078,1994,94-1433,1994-06-01,1,2,0,0,4,0.872705042
28.255112832,798.351401149051,1994,94-1433,1994-06-08,2,3,0,1,4,0.872705042
28.255112832,798.351401149051,1994,94-1433,1994-06-09,3,4,1,1,4,0.872705042
24.9304461675,621.5271461106155,1991,91-459,1991-04-16,1,2,0,0,6,0.348938823
25.750909802,663.1093556307396,1991,91-459,1991-04-23,2,3,0,0,6,0.348938823
26.262714446666667,689.7301701071541,1991,91-459,1991-04-30,3,4,0,0,6,0.348938823
26.79219812,717.8218801013314,1991,91-459,1991-05-07,4,5,0,0,6,0.348938823
26.968885971666666,727.3208105527591,1991,91-459,1991-05-14,5,6,0,0,6,0.348938823
26.968885971666666,727.3208105527591,1991,91-459,1991-05-21,6,7,0,0,6,0.348938823
27.216056892,740.7137527485808,1991,91-459,1991-05-28,7,8,0,0,6,0.348938823
27.820563008,773.9837260820981,1991,91-459,1991-06-04,8,9,0,0,6,0.348938823
27.820563008,773.9837260820981,1991,91-459,1991-06-08,9,10,0,0,6,0.348938823
24.74698115,612.4130760384553,1991,91-102,1991-04-06,1,2,0,0,4,0.232833952
24.74698115,612.4130760384553,1991,91-102,1991-04-13,2,3,0,0,4,0.232833952
24.9304461675,621.5271461106155,1991,91-102,1991-04-20,3,4,0,0,4,0.232833952
