Wind,Wind_2,WORKYEAR,NIDO,DATE,Time0,Time,Event,BroodReduction,HatchAsync,PROPORTIONALRANK
2.9543828616,8.728378092915806,1991,91-743,1991-05-29,1,2,0,0,7,0.672908843
2.9543828616,8.728378092915806,1991,91-743,1991-06-05,2,3,0,1,7,0.672908843
2.9543828616,8.728378092915806,1991,91-743,1991-06-12,3,4,1,0,7,0.672908843
2.9543828616,8.728378092915806,1991,91-743,1991-06-19,4,5,1,0,7,0.672908843
2.9543828616,8.728378092915806,1991,91-743,1991-06-26,5,6,1,0,7,0.672908843
2.9543828616,8.728378092915806,1991,91-743,1991-07-03,6,7,1,0,7,0.672908843
2.552634865,6.515944754013568,1991,91-743,1991-07-10,7,8,1,0,7,0.672908843
2.552634865,6.515944754013568,1991,91-743,1991-07-17,8,9,1,0,7,0.672908843
2.552634865,6.515944754013568,1991,91-743,1991-07-21,9,10,1,1,7,0.672908843
4.602271759,21.180905343688952,1990,90-103,1990-03-20,1,2,0,0,5,0.142121524
4.602271759,21.180905343688952,1990,90-103,1990-03-27,2,3,0,1,5,0.142121524
4.602271759,21.180905343688952,1990,90-103,1990-03-31,3,4,1,1,5,0.142121524
3.3472222223333334,11.2038966056821,1990,90-183,1990-04-20,1,2,0,0,5,0.358393401
3.3472222223333334,11.2038966056821,1990,90-183,1990-04-27,2,3,0,0,5,0.358393401
3.3472222223333334,11.2038966056821,1990,90-183,1990-05-04,3,4,0,0,5,0.358393401
3.3472222223333334,11.2038966056821,1990,90-183,1990-05-11,4,5,0,0,5,0.358393401
3.3472222223333334,11.2038966056821,1990,90-183,1990-05-18,5,6,0,0,5,0.358393401
2.763888889,7.639081790737654,1990,90-183,1990-05-25,6,7,0,1,5,0.358393401
2.4105581315999998,5.810790505822882,1990,90-183,1990-06-01,7,8,1,0,5,0.358393401
2.4105581315999998,5.810790505822882,1990,90-183,1990-06-08,8,9,1,0,5,0.358393401
2.4105581315999998,5.810790505822882,1990,90-183,1990-06-12,9,10,1,1,5,0.358393401
4.602271759,21.180905343688952,1990,90-106,1990-03-24,1,2,0,0,4,0.177136973
4.602271759,21.180905343688952,1990,90-106,1990-03-31,2,3,0,0,4,0.177136973
3.3472222223333334,11.2038966056821,1990,90-106,1990-04-07,3,4,0,0,4,0.177136973
3.3472222223333334,11.2038966056821,1990,90-106,1990-04-14,4,5,0,0,4,0.177136973
3.3472222223333334,11.2038966056821,1990,90-106,1990-04-21,5,6,0,1,4,0.177136973
3.3472222223333334,11.2038966056821,1990,90-106,1990-04-28,6,7,1,0,4,0.177136973
3.3472222223333334,11.2038966056821,1990,90-106,1990-05-05,7,8,1,0,4,0.177136973
3.3472222223333334,11.2038966056821,1990,90-106,1990-05-12,8,9,1,0,4,0.177136973
3.3472222223333334,11.2038966056821,1990,90-106,1990-05-16,9,10,1,1,4,0.177136973
3.9188291762,15.357222112236371,1991,91-009,1991-04-04,1,2,0,0,2,0.232833952
3.9188291762,15.357222112236371,1991,91-009,1991-04-11,2,3,0,0,2,0.232833952
3.9188291762,15.357222112236371,1991,91-009,1991-04-18,3,4,0,0,2,0.232833952
3.9188291762,15.357222112236371,1991,91-009,1991-04-25,4,5,0,0,2,0.232833952
3.9188291762,15.357222112236371,1991,91-009,1991-05-02,5,6,0,0,2,0.232833952
3.9188291762,15.357222112236371,1991,91-009,1991-05-09,6,7,0,0,2,0.232833952
2.9543828616,8.728378092915806,1991,91-009,1991-05-16,7,8,0,0,2,0.232833952
2.9543828616,8.728378092915806,1991,91-009,1991-05-23,8,9,0,0,2,0.232833952
2.9543828616,8.728378092915806,1991,91-009,1991-05-27,9,10,0,0,2,0.232833952
3.4625468163333335,11.989230455300104,1995,95-082,1995-05-17,1,2,0,0,3,0.202007532
3.4625468163333335,11.989230455300104,1995,95-082,1995-05-24,2,3,0,0,3,0.202007532
2.5860634164,6.68772399364244,1995,95-082,1995-05-31,3,4,0,0,3,0.202007532
2.5860634164,6.68772399364244,1995,95-082,1995-06-07,4,5,0,0,3,0.202007532
2.717464115,7.384611216312733,1995,95-082,1995-06-14,5,6,0,0,3,0.202007532
2.717464115,7.384611216312733,1995,95-082,1995-06-21,6,7,0,0,3,0.202007532
2.717464115,7.384611216312733,1995,95-082,1995-06-28,7,8,0,0,3,0.202007532
2.8136942368571427,7.916875258523099,1995,95-082,1995-07-05,8,9,0,0,3,0.202007532
3.4252873564,11.7325934739137,1995,95-082,1995-07-09,9,10,0,0,3,0.202007532
3.3472222223333334,11.2038966056821,1990,90-256,1990-04-07,1,2,0,1,4,0.309989691
3.3472222223333334,11.2038966056821,1990,90-256,1990-04-13,2,3,1,1,4,0.309989691
2.91018244975,8.469161890832913,1994,94-1433,1994-06-01,1,2,0,0,4,0.872705042
2.91018244975,8.469161890832913,1994,94-1433,1994-06-08,2,3,0,1,4,0.872705042
2.91018244975,8.469161890832913,1994,94-1433,1994-06-09,3,4,1,1,4,0.872705042
3.9188291762,15.357222112236371,1991,91-459,1991-04-16,1,2,0,0,6,0.348938823
3.9188291762,15.357222112236371,1991,91-459,1991-04-23,2,3,0,0,6,0.348938823
3.9188291762,15.357222112236371,1991,91-459,1991-04-30,3,4,0,0,6,0.348938823
3.9188291762,15.357222112236371,1991,91-459,1991-05-07,4,5,0,0,6,0.348938823
2.9543828616,8.728378092915806,1991,91-459,1991-05-14,5,6,0,0,6,0.348938823
2.9543828616,8.728378092915806,1991,91-459,1991-05-21,6,7,0,0,6,0.348938823
2.9543828616,8.728378092915806,1991,91-459,1991-05-28,7,8,0,0,6,0.348938823
2.9543828616,8.728378092915806,1991,91-459,1991-06-04,8,9,0,0,6,0.348938823
2.9543828616,8.728378092915806,1991,91-459,1991-06-08,9,10,0,0,6,0.348938823
3.9188291762,15.357222112236371,1991,91-102,1991-04-06,1,2,0,0,4,0.232833952
3.9188291762,15.357222112236371,1991,91-102,1991-04-13,2,3,0,0,4,0.232833952
3.9188291762,15.357222112236371,1991,91-102,1991-04-20,3,4,0,0,4,0.232833952
3.9188291762,15.357222112236371,1991,91-102,1991-04-27,4,5,0,0,4,0.232833952
3.9188291762,15.357222112236371,1991,91-102,1991-05-04,5,6,0,0,4,0.232833952
3.9188291762,15.357222112236371,1991,91-102,1991-05-11,6,7,0,0,4,0.232833952
2.9543828616,8.728378092915806,1991,91-102,1991-05-18,7,8,0,0,4,0.232833952
2.9543828616,8.728378092915806,1991,91-102,1991-05-25,8,9,0,0,4,0.232833952
2.9543828616,8.728378092915806,1991,91-102,1991-05-29,9,10,0,0,4,0.232833952
